library_id	ref_genome	ann_file	ann_file_ver	stranded	sequences	user
629	chicken	GFF3	gff-version 3		629_AGTCAA_L005_R1_001.fastq.gz	old update
814	chicken				814_ATCACG_L001_R1_001.fastq	old update
234	chicken	GFF3	gff-version 3		234_CAGATC_L007_R1_001.fastq.gz	old update
593	chicken	GFF3	gff-version 3		593_ACAGTG_L007_R1_001.fastq.gz	old update
655	chicken	GFF3	gff-version 3		655_ATGTCA_L002_R1_001.fastq.gz	old update
684	chicken	GFF3	gff-version 3		684_CGATGT_L006_R1_001.fastq.gz	old update
542	chicken	GFF3	gff-version 3		542_GTCCGC_L007_R1_001.fastq.gz	old update
868	chicken				868_AGTCAA_L001_R1_001.fastq,868_AGTCAA_L001_R2_001.fastq	old update
594	chicken	GFF3	gff-version 3		594_AGTTCC_L007_R1_001.fastq.gz	old update
652	chicken	GFF3	gff-version 3		652_CTTGTA_L006_R1_001.fastq.gz	old update
545	chicken	GFF3	gff-version 3		545_CGATGT_L007_R1_001.fastq.gz	old update
189	chicken	GFF3	gff-version 3		189_GCCAAT_L001_R1_001.fastq.gz	old update
539	chicken	GFF3	gff-version 3		539_CCGTCC_L002_R1_001.fastq.gz	old update
95	chicken	GFF3	gff-version 3		95_CGATGT_L007_R1_001.fastq.gz	old update
365	chicken	GFF3	gff-version 3		365_ATTT.fastq.gz	old update
241	chicken	GFF3	gff-version 3		241_TGACCA_L008_R1_001.fastq.gz	old update
994	chicken				994_ATGTCA_L002_R1_001.fastq,994_ATGTCA_L002_R2_001.fastq	old update
620	chicken	GFF3	gff-version 3		620_CGATGT_L004_R1_001.fastq.gz	old update
187	chicken	GFF3	gff-version 3		187_TGACCA_L001_R1_001.fastq.gz	old update
537	chicken	GFF3	gff-version 3		537_CTTGTA_L002_R1_001.fastq.gz	old update
993	chicken				993_AGTTCC_L002_R1_001.fastq,993_AGTTCC_L002_R2_001.fastq	old update
627	chicken	GFF3	gff-version 3		627_TGACCA_L005_R1_001.fastq.gz	old update
530	chicken	GFF3	gff-version 3		530_GTCCGC_L005_R1_001.fastq.gz	old update
468	chicken	GFF3	gff-version 3		468_ACAGTG_L005_R1_001.fastq.gz	old update
362	chicken	GFF3	gff-version 3		362_CTGC.fastq.gz	old update
505	chicken	GFF3	gff-version 3		505_ACAGTG_L007_R1_001.fastq.gz	old update
612	chicken	GFF3	gff-version 3		612_ACAGTG_L003_R1_001.fastq.gz	old update
273	chicken	GFF3	gff-version 3		273_GCCAAT_L007_R1_001.fastq.gz	old update
579	chicken	GFF3	gff-version 3		579_GCCAAT_L004_R1_001.fastq.gz	old update
736	chicken	GFF3	gff-version 3		736_GCCAAT_L001_R1_001.fastq,736_GCCAAT_L001_R1_001.fastq	old update
357	chicken	GFF3	gff-version 3		357_fil.fq.gz	old update
386	chicken	GFF3	gff-version 3		386_fil.fq.gz	old update
669	chicken	GFF3	gff-version 3		669_ATGTCA_L004_R1_001.fastq.gz	old update
350	chicken	GFF3	gff-version 3		350_fil.fq.gz	old update
381	chicken	GFF3	gff-version 3		381_fil.fq.gz	old update
615	chicken	GFF3	gff-version 3		615_ATGTCA_L003_R1_001.fastq.gz	old update
274	chicken	GFF3	gff-version 3		274_CAGATC_L007_R1_001.fastq.gz	old update
828	chicken				828_GTCCGC_L004_R1_001.fastq	old update
570	chicken	GFF3	gff-version 3		570_AGTTCC_L003_R1_001.fastq.gz	old update
667	chicken	GFF3	gff-version 3		667_AGTCAA_L004_R1_001.fastq.gz	old update
71	chicken	GFF3	gff-version 3		71_GCCAAT_L008_R1_001.fastq.gz	old update
743	chicken	GFF3	gff-version 3		743_2_CGATGT_L002_R2_001.fastq,743_2_CGATGT_L002_R2_001.fastq	old update
485	chicken	GFF3	gff-version 3		485_ACAGTG_L001_R1_001.fastq.gz	old update
322	chicken	GFF3	gff-version 3		322_fil.fq.gz	old update
454	chicken	GFF3	gff-version 3		454_CGATGT_L002_R1_001.fastq.gz	old update
826	chicken				826_CGATGT_L004_R1_001.fastq	old update
744	chicken	GFF3	gff-version 3		744_16_CCGTCC_L002_R2_001.fastq,744_16_CCGTCC_L002_R2_001.fastq	old update
325	chicken	GFF3	gff-version 3		325_fil.fq.gz	old update
453	chicken	GFF3	gff-version 3		453_AGTTCC_L002_R1_001.fastq.gz	old update
577	chicken	GFF3	gff-version 3		577_TGACCA_L004_R1_001.fastq.gz	old update
201	chicken	GFF3	gff-version 3		201_TGACCA_L007_R1_001.fastq.gz	old update
738	chicken	GFF3	gff-version 3		738_CTTGTA_L001_R2_001.fastq,738_CTTGTA_L001_R2_001.fastq	old update
359	chicken	GFF3	gff-version 3		359_fil.fq.gz	old update
388	chicken	GFF3	gff-version 3		388_fil.fq.gz	old update
493	chicken	GFF3	gff-version 3		493_ATGTCA_L005_R1_001.fastq.gz	old update
334	chicken	GFF3	gff-version 3		334_fil.fq.gz	old update
729	chicken	GFF3	gff-version 3		729_GTCCGC_L005_R1_001.fastq,729_GTCCGC_L005_R1_001.fastq	old update
348	chicken	GFF3	gff-version 3		348_fil.fq.gz	old update
671	chicken	GFF3	gff-version 3		671_GTCCGC_L004_R1_001.fastq.gz	old update
210	chicken	GFF3	gff-version 3		210_CGATGT_L004_R1_001.fastq.gz	old update
914	chicken				914_ACTTGA_L004_R1_001.fastq,914_ACTTGA_L004_R2_001.fastq	old update
566	chicken	GFF3	gff-version 3		566_CCGTCC_L002_R1_001.fastq.gz	old update
439	chicken	GFF3	gff-version 3		439_CAGATC_L006_R1_001.fastq.gz	old update
676	chicken	GFF3	gff-version 3		676_CTTGTA_L005_R1_001.fastq.gz	old update
217	chicken	GFF3	gff-version 3		217_CGATGT_L005_R1_001.fastq.gz	old update
913	chicken				913_TTAGGC_L004_R1_001.fastq,913_TTAGGC_L004_R2_001.fastq	old update
445	chicken	GFF3	gff-version 3		445_TGACCA_L001_R1_001.fastq.gz	old update
333	chicken	GFF3	gff-version 3		333_fil.fq.gz	old update
494	chicken	GFF3	gff-version 3		494_CCGTCC_L006_R1_001.fastq.gz	old update
845	chicken				845_TGACCA_L002_R1_001.fastq	old update
437	chicken	GFF3	gff-version 3		437_ACAGTG_L006_R1_001.fastq.gz	old update
390	chicken	GFF3	gff-version 3		390_fil.fq.gz	old update
720	chicken	GFF3	gff-version 3		720_GTGAAA_L005_R1_001.fastq.gz	old update
894	chicken				894_TAGCTT_L002_R1_001.fastq,894_TAGCTT_L002_R2_001.fastq	old update
341	chicken	GFF3	gff-version 3		341_fil.fq.gz	old update
678	chicken	GFF3	gff-version 3		678_AGTTCC_L005_R1_001.fastq.gz	old update
219	chicken	GFF3	gff-version 3		219_ACAGTG_L005_R1_001.fastq.gz	old update
839	chicken				839_AGTTCC_L003_R1_001.fastq	old update
513	chicken	GFF3	gff-version 3		513_CCGTCC_L006_R1_001.fastq.gz	old update
514	chicken	GFF3	gff-version 3		514_GTCCGC_L006_R1_001.fastq.gz	old update
842	chicken				842_GTCCGC_L002_R1_001.fastq	old update
727	chicken	GFF3	gff-version 3		727_ATGTCA_L005_R1_001.fastq,727_ATGTCA_L005_R1_001.fastq	old update
15	chicken	GFF3	gff-version 3		15_TGACCA_L004_R1_001.fastq.gz	old update
568	chicken	GFF3	gff-version 3		568_CTTGTA_L003_R1_001.fastq.gz	old update
636	chicken	GFF3	gff-version 3		636_AGTTCC_L005_R1_001.fastq.gz	old update
191	chicken	GFF3	gff-version 3		191_CTTGTA_L001_R1_001.fastq.gz	old update
373	chicken	GFF3	gff-version 3		373_GCCAAT_L004_R1_001.fastq.gz	old update
712	chicken				712_CAGATC_L005_R1_001.fastq	old update
20	chicken	GFF3	gff-version 3		20_CTTGTA_L004_R1_001.fastq.gz	old update
374	chicken	GFF3	gff-version 3		374_CAGATC_L004_R1_001.fastq.gz	old update
715	chicken	GFF3	gff-version 3		715_CTTGTA_L005_R1_001.fastq.gz	old update
928	chicken				928_GTTTCG_L005_R1_001.fastq,928_GTTTCG_L005_R2_001.fastq	old update
526	chicken	GFF3	gff-version 3		526_GCCAAT_L007_R1_001.fastq.gz	old update
281	chicken	GFF3	gff-version 3		281_ACAGTG_L002_R1_001.fastq.gz	old update
631	chicken	GFF3	gff-version 3		631_ATGTCA_L005_R1_001.fastq.gz	old update
554	chicken	GFF3	gff-version 3		554_CAGATC_L006_R1_001.fastq.gz	old update
926	chicken				926_GGCTAC_L005_R1_001.fastq,926_GGCTAC_L005_R2_001.fastq	old update
222	chicken	GFF3	gff-version 3		222_CTTGTA_L005_R1_001.fastq.gz	old update
585	chicken	GFF3	gff-version 3		585_CGATGT_L001_R1_001.fastq.gz	old update
306	chicken	GFF3	gff-version 3		306_CTTGTA_L001_R1_001.fastq.gz	old update
